symbol,name,sector
LYB,LyondellBasell Industries NV,Materials
PPG,PPG Industries Inc,Materials
ECL,Ecolab Inc,Materials
IFF,International Flavors & Fragrances Inc,Materials
EMN,Eastman Chemical Company,Materials
CE,Celanese Corporation,Materials
DD,DuPont de Nemours Inc,Materials
DOW,Dow Inc,Materials
APD,Air Products and Chemicals Inc,Materials
BA,Boeing Company,Industrials
MMM,3M Company,Industrials
GEV,GE Vernova Inc,Industrials
ETN,Eaton Corporation Plc,Industrials
EMR,Emerson Electric Co,Industrials
PH,Parker-Hannifin Corporation,Industrials
ITW,Illinois Tool Works Inc,Industrials
ROK,Rockwell Automation Inc,Industrials
AME,AMETEK Inc,Industrials
ROP,Roper Technologies Inc,Industrials
CARR,Carrier Global Corporation,Industrials
OTIS,Otis Worldwide Corporation,Industrials
CSX,CSX Corporation,Industrials
NSC,Norfolk Southern Corporation,Industrials
UNP,Union Pacific Corporation,Industrials
DAL,Delta Air Lines Inc,Industrials
UAL,United Airlines Holdings Inc,Industrials
AAL,American Airlines Group Inc,Industrials
LUV,Southwest Airlines Co,Industrials
CCL,Carnival Corporation,Consumer Discretionary
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary
NCLH,Norwegian Cruise Line Holdings Ltd,Consumer Discretionary
H,Hyatt Hotels Corporation,Consumer Discretionary
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary
MAR,Marriott International Inc,Consumer Discretionary
WH,Wyndham Hotels & Resorts Inc,Consumer Discretionary
MGM,MGM Resorts International,Consumer Discretionary
LVS,Las Vegas Sands Corp,Consumer Discretionary
WYNN,Wynn Resorts Limited,Consumer Discretionary
CZR,Caesars Entertainment Inc,Consumer Discretionary
PENN,PENN Entertainment Inc,Consumer Discretionary
NKE,Nike Inc,Consumer Discretionary
LULU,Lululemon Athletica Inc,Consumer Discretionary
VFC,VF Corporation,Consumer Discretionary
PVH,PVH Corp,Consumer Discretionary
RL,Ralph Lauren Corporation,Consumer Discretionary
TPR,Tapestry Inc,Consumer Discretionary
CPRI,Capri Holdings Limited,Consumer Discretionary
TGT,Target Corporation,Consumer Discretionary
KR,Kroger Co,Consumer Discretionary
ACI,Albertsons Companies Inc,Consumer Discretionary
SFM,Sprouts Farmers Market Inc,Consumer Discretionary
DLTR,Dollar Tree Inc,Consumer Discretionary
DG,Dollar General Corporation,Consumer Discretionary
FIVE,Five Below Inc,Consumer Discretionary
BBY,Best Buy Co Inc,Consumer Discretionary
ETSY,Etsy Inc,Consumer Discretionary
W,Wayfair Inc,Consumer Discretionary
CHWY,Chewy Inc,Consumer Discretionary
AMZN,Amazon.com Inc,Consumer Discretionary
